speaker,date,title,text,url
Joe Biden,"February 23, 2022",Statement on the Nord Stream 2 Natural Gas Pipeline Between Russia and Germany,"Since Russia began deploying troops to the Ukrainian border, the United States has worked closely with our allies and partners to deliver a strong, unified response. As I said when I met with Chancellor Scholz earlier this month, Germany has been a leader in that effort, and we have closely coordinated our efforts to stop the Nord Stream 2 pipeline if Russia further invaded Ukraine.
Yesterday, after further close consultations between our two governments, Germany announced that it would halt certification of the pipeline. Today I have directed my administration to impose sanctions on Nord Stream 2 AG and its corporate officers. These steps are another piece of our initial tranche of sanctions in response to Russia's actions in Ukraine. As I have made clear, we will not hesitate to take further steps if Russia continues to escalate.
Through his actions, President Putin has provided the world with an overwhelming incentive to move away from Russian gas and to other forms of energy. I want to thank Chancellor Scholz for his close partnership and continued dedication to holding Russia accountable for its actions.",https://www.presidency.ucsb.edu/documents/statement-the-nord-stream-2-natural-gas-pipeline-between-russia-and-germany
Joe Biden,"February 23, 2022",Joint Statement by President Biden and Prime Minister Justin P.J. Trudeau of Canada on the One-Year Anniversary of the Roadmap for a Renewed U.S.-Canada Partnership,"One year ago, the United States and Canada reaffirmed the special nature of our relationship, and our commitment to working closely together in the interests of the collective security and prosperity of our citizens based on the principles of democracy, diversity, and equity. The Roadmap for a Renewed U.S.-Canada Partnership guides our work, and lays out an ambitious framework to build a greener, more prosperous future; grow our economies and strengthen the middle class; combat the global COVID-19 pandemic; create safer, more equitable communities; and stand together in the face of threats to democracy. Defending democracy is at the heart of our commitment to stand with Ukraine in the face of Russia's unprovoked invasion. We have made progress over the past year and laid the foundation to deepen our cooperation on climate change, on supporting the global pandemic response efforts, on enhancing cooperation on the Arctic, and on building the economies of the future, including through work to strengthen bilateral supply chains and cooperation on critical minerals. Much work remains to be done. Our countries are both stronger when we work together towards our shared objectives. We look forward to building on the enduring partnership between our two great nations in the years ahead.",https://www.presidency.ucsb.edu/documents/joint-statement-president-biden-and-prime-minister-justin-pj-trudeau-canada-the-one-year
Joe Biden,"February 23, 2022",Statement on Russia's Attack on Ukraine,"The prayers of the entire world are with the people of Ukraine tonight as they suffer an unprovoked and unjustified attack by Russian military forces. President Putin has chosen a premeditated war that will bring a catastrophic loss of life and human suffering. Russia alone is responsible for the death and destruction this attack will bring, and the United States and its allies and partners will respond in a united and decisive way. The world will hold Russia accountable.
I will be monitoring the situation from the White House this evening and will continue to get regular updates from my national security team. Tomorrow I will meet with my G-7 counterparts in the morning and then speak to the American people to announce the further consequences the United States and our allies and partners will impose on Russia for this needless act of aggression against Ukraine and global peace and security. We will also coordinate with our NATO allies to ensure a strong, united response that deters any aggression against the alliance. Tonight Jill and I are praying for the brave and proud people of Ukraine.",https://www.presidency.ucsb.edu/documents/statement-russias-attack-ukraine
Joe Biden,"February 24, 2022",Statement on the President's Telephone Conversation With President Volodymyr Zelenskiy of Ukraine,"President Zelenskyy reached out to me tonight and we just finished speaking. I condemned this unprovoked and unjustified attack by Russian military forces. I briefed him on the steps we are taking to rally international condemnation, including tonight at the United Nations Security Council. He asked me to call on the leaders of the world to speak out clearly against President Putin's flagrant aggression, and to stand with the people of Ukraine. Tomorrow I will be meeting with the leaders of the G-7, and the United States and our allies and partners will be imposing severe sanctions on Russia. We will continue to provide support and assistance to Ukraine and the Ukrainian people.",https://www.presidency.ucsb.edu/documents/statement-the-presidents-telephone-conversation-with-president-volodymyr-zelenskiy-ukraine
Joe Biden,"February 25, 2022",Statement on the North Atlantic Treaty Organization Summit and Telephone Conversation With President Volodymyr Zelenskiy of Ukraine,"Today I met with fellow leaders from our NATO allies to discuss our shared commitment to collective defense and transatlantic security. As President Putin threatens the very foundations of international peace and security, NATO is once again demonstrating that it stands for freedom and democracy.
As I said yesterday, the United States will defend every inch of NATO territory. Our commitment to article 5 is ironclad. I have ordered the deployment of additional forces to augment our capabilities in Europe to support our NATO allies. And I strongly welcome the decision to activate NATO's defensive plans and elements of the NATO Response Force to strengthen our collective posture, as well as the commitments by our allies to deploy additional land and air forces to the eastern flank and maritime forces from the High North to the Mediterranean.
We were joined today by our close partners Sweden, Finland, and the European Union. President Putin has failed in his goal of dividing the West. NATO is as united and resolute as it's ever been, and NATO will maintain its open door to those European states who share our values and who one day may seek to join our alliance. As we navigate this crisis, we pledged to work even more closely together in our defense of freedom and the democratic values that imbue our alliance with purpose and power.
Immediately after the NATO summit, I spoke with President Zelenskyy of Ukraine. I commended the brave actions of the Ukrainian people who were fighting to defend their country. I also conveyed ongoing economic, humanitarian, and security support being provided by the United States as well as our continued efforts to rally other countries to provide similar assistance.",https://www.presidency.ucsb.edu/documents/statement-the-north-atlantic-treaty-organization-summit-and-telephone-conversation-with
Joe Biden,"February 25, 2022",Joint Statement by the North Atlantic Treaty Organization Heads of State and Government on Russia's Attack on Ukraine,"We have met today to discuss the gravest threat to Euro-Atlantic security in decades. We condemn in the strongest possible terms Russia's full-scale invasion of Ukraine, enabled by Belarus. We call on Russia to immediately cease its military assault, to withdraw all its forces from Ukraine and to turn back from the path of aggression it has chosen. This long-planned attack on Ukraine, an independent, peaceful and democratic country, is brutal and wholly unprovoked and unjustified. We deplore the tragic loss of life, enormous human suffering and destruction caused by Russia's actions. Peace on the European continent has been fundamentally shattered. The world will hold Russia, as well as Belarus, accountable for their actions. We call on all states to condemn this unconscionable attack unreservedly. No one should be fooled by the Russian government's barrage of lies.
Russia bears full responsibility for this conflict. It has rejected the path of diplomacy and dialogue repeatedly offered to it by NATO and Allies. It has fundamentally violated international law, including the UN Charter. Russia's actions are also a flagrant rejection of the principles enshrined in the NATO-Russia Founding Act: it is Russia that has walked away from its commitments under the Act. President Putin's decision to attack Ukraine is a terrible strategic mistake, for which Russia will pay a severe price, both economically and politically, for years to come. Massive and unprecedented sanctions have already been imposed on Russia. NATO will continue to coordinate closely with relevant stakeholders and other international organisations including the EU. At the invitation of the Secretary General, we were joined today by Finland, Sweden and the European Union.
We stand in full solidarity with the democratically elected president, parliament and government of Ukraine and with the brave people of Ukraine who are now defending their homeland. Our thoughts are with all those killed, injured and displaced by Russia's aggression, and with their families. NATO remains committed to all the foundational principles underpinning European security, including that each nation has the right to choose its own security arrangements. We will continue to provide political and practical support to Ukraine as it continues to defend itself and call on others to do the same. We reaffirm our unwavering support for the independence, sovereignty and territorial integrity of Ukraine within its internationally recognised borders, including its territorial waters. This principled position will never change.
In light of Russia's actions, we will draw all the necessary consequences for NATO's deterrence and defence posture. Allies have held consultations under Article 4 of the Washington Treaty. We will continue to take all measures and decisions required to ensure the security and defence of all Allies. We have deployed defensive land and air forces in the eastern part of the Alliance, and maritime assets across the NATO area. We have activated NATO's defence plans to prepare ourselves to respond to a range of contingencies and secure Alliance territory, including by drawing on our response forces. We are now making significant additional defensive deployments of forces to the eastern part of the Alliance. We will make all deployments necessary to ensure strong and credible deterrence and defence across the Alliance, now and in the future. Our measures are and remain preventive, proportionate and non-escalatory.
Our commitment to Article 5 of the Washington Treaty is iron-clad. We stand united to protect and defend all Allies. Freedom will always win over oppression.",https://www.presidency.ucsb.edu/documents/joint-statement-the-north-atlantic-treaty-organization-heads-state-and-government-russias
Joe Biden,"February 26, 2022",Joint Statement on Further Restrictive Economic Measures,"We, the leaders of the European Commission, France, Germany, Italy, the United Kingdom, Canada, and the United States condemn Putin's war of choice and attacks on the sovereign nation and people of Ukraine. We stand with the Ukrainian government and the Ukrainian people in their heroic efforts to resist Russia's invasion. Russia's war represents an assault on fundamental international rules and norms that have prevailed since the Second World War, which we are committed to defending. We will hold Russia to account and collectively ensure that this war is a strategic failure for Putin.
This past week, alongside our diplomatic efforts and collective work to defend our own borders and to assist the Ukrainian government and people in their fight, we, as well as our other allies and partners around the world, imposed severe measures on key Russian institutions and banks, and on the architects of this war, including Russian President Vladimir Putin.
As Russian forces unleash their assault on Kyiv and other Ukrainian cities, we are resolved to continue imposing costs on Russia that will further isolate Russia from the international financial system and our economies. We will implement these measures within the coming days.
Specifically, we commit to undertake the following measures:
First, we commit to ensuring that selected Russian banks are removed from the SWIFT messaging system. This will ensure that these banks are disconnected from the international financial system and harm their ability to operate globally.
Second, we commit to imposing restrictive measures that will prevent the Russian Central Bank from deploying its international reserves in ways that undermine the impact of our sanctions.
Third, we commit to acting against the people and entities who facilitate the war in Ukraine and the harmful activities of the Russian government. Specifically, we commit to taking measures to limit the sale of citizenship—so called golden passports—that let wealthy Russians connected to the Russian government become citizens of our countries and gain access to our financial systems.
Fourth, we commit to launching this coming week a transatlantic task force that will ensure the effective implementation of our financial sanctions by identifying and freezing the assets of sanctioned individuals and companies that exist within our jurisdictions. As a part of this effort we are committed to employing sanctions and other financial and enforcement measures on additional Russian officials and elites close to the Russian government, as well as their families, and their enablers to identify and freeze the assets they hold in our jurisdictions. We will also engage other governments and work to detect and disrupt the movement of ill-gotten gains, and to deny these individuals the ability to hide their assets in jurisdictions across the world.
Finally, we will step up or coordination against disinformation and other forms of hybrid warfare.
We stand with the Ukrainian people in this dark hour. Even beyond the measures we are announcing today, we are prepared to take further measures to hold Russia to account for its attack on Ukraine.",https://www.presidency.ucsb.edu/documents/joint-statement-further-restrictive-economic-measures
Joe Biden,"March 02, 2022",Statement on the United Nations General Assembly Vote To Condemn Russia's Aggression Against Ukraine,"Today, for the first time in 40 years, the United Nations Security Council convened an emergency special session of the General Assembly under the Uniting for Peace mechanism in response to Russia's unprovoked, unjustified, and unconscionable war on Ukraine. This extraordinary move by the United Nations demonstrates the extent of global outrage at Russia's horrific assault on a sovereign neighbor and showcased unprecedented global unity.
An overwhelming majority of nations around the world condemn Putin's war. An overwhelming majority of nations recognize that Putin is not only attacking Ukraine, he is attacking the very foundations of global peace and security and everything the United Nations stands for. And an overwhelming majority of the world recognizes that if we do not stand up to Putin's Russia, it will only inflict further chaos and aggression on the world. Russia stood isolated, with the support of only four brutal, authoritarian states.
I commend the member states of the United Nations for holding this historic session. Today's vote lays bare Putin's isolation. It also holds Belarus accountable for its unacceptable involvement in this war.
The world is rejecting Russia's lies. We can all see what is happening in Ukraine with our own eyes. Russia is responsible for the devastating abuses of human rights and the international humanitarian crisis that we are watching unfold in Ukraine in real time. There is no room for excuses or equivocation. Russia is to blame.
The United Nations was founded to ""save succeeding generations from the scourge of war."" As Secretary-General António Guterres said, enough is enough. Together, we must—and we will—hold Russia accountable for its actions. We will demonstrate that freedom always triumphs over tyranny.",https://www.presidency.ucsb.edu/documents/statement-the-united-nations-general-assembly-vote-condemn-russias-aggression-against
Joe Biden,"March 10, 2022",Joint Statement by President Biden and President Iván Duque Márquez of Colombia on the U.S.-Colombia Bicentennial Partnership,"We met today to commemorate 200 years of diplomatic relations and to outline a vision for the future for the U.S.-Colombia relationship based on shared prosperity, social equity, the defense of human rights and fundamental freedoms, and the reaffirmation of the hemispheric consensus in favor of democracy enshrined in the Inter-American Democratic Charter.
The United States intends to designate Colombia as a Major Non-NATO Ally in recognition of our uniquely close cooperation in the hemisphere, Colombia's significant contributions as a NATO Global Partner, its commitment to NATO's mission to promote democratic values and commitment to the peaceful resolution of disputes, and its rejection of Russia's unprovoked and unjustifiable aggression against Ukraine.
We committed to expanding longstanding bilateral security cooperation, into a strategic partnership with positive bilateral, regional, and global implications. Recognizing that strengthening Colombia's security is in the national security interest of the United States, we agreed to sustain robust cooperation to combat terrorism and transnational criminal actors, including drug trafficking and the smuggling and trafficking of people, as well as the malign influence of external actors.
We committed to advance our broader drug policy strategy, with a holistic approach to counternarcotics focused on expanding access to evidence-based prevention, treatment, harm reduction, and recovery support services, as well as reducing the supply of illicit drugs through renewed efforts that link eradication, interdiction, drug demand reduction, anti-money laundering efforts and robust rule of law institutions. Our comprehensive approach will combine rural security and development efforts and work to consolidate and sustain peace implementation and reconciliation programs, while ensuring that criminal actors are brought to justice.
In the face of sustained challenges to democracy and universal human rights around the world, we recognized the need for our governments to demonstrate that democracy can deliver to improve the lives of our citizens by cracking down on corruption and promoting transparency, by ensuring a green and equitable recovery to the COVID-19 pandemic. The crisis in Venezuela is a regional challenge and we commit to support the restoration of democracy as necessary to bring an end to the political, economic, and humanitarian crises. In our continued efforts to end the COVID-19 pandemic worldwide, the United States announced the donation of an additional two million vaccine doses to Colombia, including for displaced and migrant communities.
We agreed to prioritize investments in our shared prosperity through the Build Back Better World initiative focused on climate change, health and health technology, digital connectivity, and gender equity. Further, we committed to ensuring that the future of U.S.-Colombia cooperation is guided by a continued commitment to environmental and social justice, as well as racial equity and a respect for human rights.
Finally, we agreed to work on a new framework for how nations throughout the hemisphere collectively manage migration. The current migrant crisis is bigger than any one country and any one border. This is a moment that calls us all to action. The United States and Colombia urge leaders across the Americas to join us in developing a Regional Declaration on Migration and Protection. The Americas have a rich tradition of welcoming refugees and immigrants and showing solidarity with our neighbors. Working hand in hand, we can overcome this current crisis and truly set an example for the rest of the world.",https://www.presidency.ucsb.edu/documents/joint-statement-president-biden-and-president-ivan-duque-marquez-colombia-the-us-colombia
Joe Biden,"March 11, 2022",Joint Statement by Leaders of the Group of Seven (G-7) Nations Announcing Further Economic Costs on Russia,"We the Leaders of the Group of Seven (G7) remain resolved to stand with the Ukrainian people and government who heroically resist Russian President Vladimir Putin's military aggression and war of choice against their sovereign nation. This unprovoked and unjustified attack is causing enormous suffering and a tragic loss of life, including through the increasingly indiscriminate bombing and shelling of civilians in schools, homes, and hospitals.
We are united in our determination to hold President Putin and his regime accountable for this unjustified and unprovoked war that has already isolated Russia in the world. The world should join together in calling on President Putin and his regime to immediately stop its ongoing assault against Ukraine and withdraw its military forces. We stand in solidarity with those who are bravely opposing the invasion of Ukraine.
We urge Russia to ensure safe and unhindered humanitarian access to victims of its assault in Ukraine, and to allow safe passage for civilians wishing to leave. We call for, and commit to provide, humanitarian, medical and financial support to refugees from Ukraine.
Since President Putin launched the Russian Federation's invasion on February 24, our countries have imposed expansive restrictive measures that have severely compromised Russia's economy and financial system, as evidenced by the massive market reactions. We have collectively isolated key Russian banks from the global financial system; blunted the Central Bank of Russia's ability to utilise its foreign reserves; imposed sweeping export bans and controls that cut Russia off from our advanced technologies; and targeted the architects of this war, that is Russian President Vladimir Putin and his accomplices, as well as the Lukashenko regime in Belarus.
In addition to announced plans, we will make further efforts to reduce our reliance on Russian energy, while ensuring that we do so in an orderly fashion and in ways that provide time for the world to secure alternative and sustainable supplies. In addition, private sector companies are leaving Russia with unprecedented speed and solidarity. We stand with our companies that are seeking an orderly withdrawal from the Russian market.
We remain resolved to isolate Russia further from our economies and the international financial system. Consequently, we commit to taking further measures as soon as possible in the context of our ongoing response and consistent with our respective legal authorities and processes:
First, we will endeavor, consistent with our national processes, to take action that will deny Russia Most-Favoured-Nation status relating to key products. This will revoke important benefits of Russia's membership of the World Trade Organization and ensure that the products of Russian companies no longer receive Most-Favoured-Nation treatment in our economies. We welcome the ongoing preparation of a statement by a broad coalition of WTO members, including the G7, announcing their revocation of Russia's Most-Favoured-Nation status.
Second, we are working collectively to prevent Russia from obtaining financing from the leading multilateral financial institutions, including the International Monetary Fund, the World Bank and the European Bank for Reconstruction and Development. Russia cannot grossly violate international law and expect to benefit from being part of the international economic order. We welcome the IMF and World Bank Group's rapid and ongoing efforts to get financial assistance to Ukraine. We also welcome the steps the OECD has taken to restrict Russia's participation in relevant bodies.
Third, we commit to continuing our campaign of pressure against Russian elites, proxies and oligarchs close to President Putin and other architects of the war as well as their families and their enablers. We commend the work done by many of our governments to identify and freeze mobile and immobile assets belonging to sanctioned individuals and entities, and resolve to continue this campaign of pressure as a matter of priority. To that end, we have operationalised the task force announced on February 26, which will target the assets of Russian elites close to President Putin and the architects of his war. Our sanctions packages are carefully targeted so as not to impede the delivery of humanitarian assistance.
Fourth, we commit to maintaining the effectiveness of our restrictive measures, to cracking down on evasion and to closing loop-holes. Specifically, in addition to other measures planned to prevent evasion, we will ensure that the Russian state and elites, proxies and oligarchs cannot leverage digital assets as a means of evading or offsetting the impact of international sanctions, which will further limit their access to the global financial system. It is commonly understood that our current sanctions already cover crypto-assets. We commit to taking measures to better detect and interdict any illicit activity, and we will impose costs on illicit Russian actors using digital assets to enhance and transfer their wealth, consistent with our national processes.
Fifth, we are resolved to fighting off the Russian regime's attempts to spread disinformation. We affirm and support the right of the Russian people to free and unbiased information.
Sixth, we stand ready to impose further restrictions on exports and imports of key goods and technologies on the Russian Federation, which aim at denying Russia revenues and at ensuring that our citizens are not underwriting President Putin's war, consistent with national processes. We note that international companies are already withdrawing from the Russian market. We will make sure that the elites, proxies and oligarchs that support President Putin's war are deprived of their access to luxury goods and assets. The elites who sustain Putin's war machine should no longer be able to reap the gains of this system, squandering the resources of the Russian people.
Seventh, Russian entities directly or indirectly supporting the war should not have access to new debt and equity investments and other forms of international capital. Our citizens are united in the view that their savings and investments should not fund the companies that underpin Russia's economy and war machine. We will continue working together to develop and implement measures that will further limit Russia's ability to raise money internationally.
We stand united and in solidarity with our partners, including developing and emerging economies, which unjustly bear the cost and impact of this war, for which we hold President Putin, his regime and supporters, and the Lukashenko regime, fully responsible. Together, we will work to preserve stability of energy markets as well as food security globally as Russia's invasion threatens Ukraine's capacity to grow crops this year.
We continue to stand with the Ukrainian people and the Government of Ukraine. We will continue to evaluate the impacts of our measures, including on third countries, and are prepared to take further measures to hold President Putin and his regime accountable for his attack on Ukraine.",https://www.presidency.ucsb.edu/documents/joint-statement-leaders-the-group-seven-g-7-nations-announcing-further-economic-costs
